"YEAR:","CURRENT"
"REPORT:","COMPLETE REPORT"
"CATEGORY:",""
"ITEM NUMBER:",""
"ACCOUNT NUMBER:",""
"SALES REP:",""
"LOCATION:","ALL LOCATIONS"

"ITEM NUMBER","DESCRIPTION","REP","DOCNO","ACCNO","DATE","QUANTITY","RETAIL","COST","GROSS","%"
"JL-899B","GOLD CUP WEAT HANDLE 380MM(H","001","000173","JAM010","24/10/2023","45","5814","6840","-1026","-17.6"
"JL-899B","GOLD CUP WEAT HANDLE 380MM(H","003","001178","TA0100","17/04/2024","1","137","152","-15","-11.1"
"JL-899B","GOLD CUP WEAT HANDLE 380MM(H","001","001234","VE0100","25/04/2024","3","410","456","-46","-11.1"
"JL-899B","GOLD CUP WEAT HANDLE 380MM(H","001","001257","VE0100","30/04/2024","10","1368","1520","-152","-11.1"
"JL-899B","GOLD CUP WEAT HANDLE 380MM(H","001","001316","JAM010","14/05/2024","24","3101","3648","-547","-17.6"
"JL-899B","GOLD CUP WEAT HANDLE 380MM(H","001","001351","PGJ010","22/05/2024","7","958","1064","-106","-11.1"
"TOTALS:","","","","","","117","15481","17784","-2303","-14.9"
"JL-899C","GOLD CUP WEAT HANDLE 305MM(H","001","000079","PGJ010","11/10/2023","15","1512","1680","-168","-11.1"
"JL-899C","GOLD CUP WEAT HANDLE 305MM(H","001","000082","VE0100","11/10/2023","10","1008","1120","-112","-11.1"
"JL-899C","GOLD CUP WEAT HANDLE 305MM(H","003","000094","COS010","12/10/2023","2","202","224","-22","-11.1"
"JL-899C","GOLD CUP WEAT HANDLE 305MM(H","003","000118","ME0100","17/10/2023","20","2240","2240","0","0.0"
"JL-899C","GOLD CUP WEAT HANDLE 305MM(H","001","000173","JAM010","24/10/2023","31","2951","3472","-521","-17.6"
"JL-899C","GOLD CUP WEAT HANDLE 305MM(H","003","001178","TA0100","17/04/2024","2","202","224","-22","-11.1"
"JL-899C","GOLD CUP WEAT HANDLE 305MM(H","001","001234","VE0100","25/04/2024","2","202","224","-22","-11.1"
"JL-899C","GOLD CUP WEAT HANDLE 305MM(H","001","001257","VE0100","30/04/2024","8","806","896","-90","-11.1"
"JL-899C","GOLD CUP WEAT HANDLE 305MM(H","001","001316","JAM010","14/05/2024","24","2285","2688","-403","-17.6"
"JL-899C","GOLD CUP WEAT HANDLE 305MM(H","001","001351","PGJ010","22/05/2024","34","3427","3808","-381","-11.1"
"TOTALS:","","","","","","148","14834","16576","-1742","-11.7"
"JL-A1","SUNRISE HOLDER 140MM (H)","001","000019","NT0300","12/02/2024","-50","-680","-800","120","-17.6"
"JL-A1","SUNRISE HOLDER 140MM (H)","001","000158","THE020","23/10/2023","20","298","320","-22","-7.5"
"JL-A1","SUNRISE HOLDER 140MM (H)","003","000191","DST010","25/10/2023","150","2280","2400","-120","-5.3"
"JL-A1","SUNRISE HOLDER 140MM (H)","001","000192","UBMM01","25/10/2023","30","466","480","-14","-3.1"
"JL-A1","SUNRISE HOLDER 140MM (H)","001","000307","NT0300","08/11/2023","50","640","800","-160","-25.0"
"JL-A1","SUNRISE HOLDER 140MM (H)","001","000381","UBMM01","15/11/2023","50","776","800","-24","-3.1"
"JL-A1","SUNRISE HOLDER 140MM (H)","001","000387","FP0200","16/11/2023","6","88","96","-8","-8.7"
"JL-A1","SUNRISE HOLDER 140MM (H)","001","000429","UBMM01","20/11/2023","50","776","800","-24","-3.1"
"JL-A1","SUNRISE HOLDER 140MM (H)","003","000595","DST010","05/12/2023","100","1520","1600","-80","-5.3"
"JL-A1","SUNRISE HOLDER 140MM (H)","003","000613","T06000","06/12/2023","100","1440","1600","-160","-11.1"
"JL-A1","SUNRISE HOLDER 140MM (H)","001","000849","NT0300","12/02/2024","50","680","800","-120","-17.6"
"JL-A1","SUNRISE HOLDER 140MM (H)","001","000850","NT0300","12/02/2024","50","680","800","-120","-17.6"
"JL-A1","SUNRISE HOLDER 140MM (H)","001","001160","FP0200","12/04/2024","5","74","80","-6","-8.7"
"JL-A1","SUNRISE HOLDER 140MM (H)","002","001227","DST010","24/04/2024","50","760","800","-40","-5.3"
"TOTALS:","","","","","","661","9797","10576","-779","-8.0"
"JL-A2","3 RIBBONS HOLDER 150MM (H)","001","000019","NT0300","12/02/2024","-50","-680","-800","120","-17.6"
