"ITEM NUMBER","DESCRIPTION","SUPPLIER","DOCNO","REFNO","DATE","QUANTITY","PRICE","TOTAL"
"CS-PP102-S","SLANTED BLUE PIECE 185MM(H","KWC000 KWC","000009","000009","08/10/2024","120.00","217.00","26040.00"
"CS-PP44","SHIELD W/B BASE 190MM(H)","KWC000 KWC","000006","000006","20/06/2024","200.00","207.00","41400.00"
"CS-PP45","TROPHY W/B BASE 190MM(H)","KWC000 KWC","000009","000009","08/10/2024","120.00","182.00","21840.00"
"CS-PP46","FLAME W/B BASE 200MM(H)","KWC000 KWC","000006","000006","20/06/2024","200.00","207.00","41400.00"
"CS-PRI-01","BLUE PRINTED 270MM (H)","KWC000 KWC","000004","000004","28/02/2024","100.00","285.00","28500.00"
"CS-PRI-01","BLUE PRINTED 270MM (H)","KWC000 KWC","000009","000009","08/10/2024","100.00","266.00","26600.00"
"CS-PRI-03","YELLOW PRINTED 275MM (H)","KWC000 KWC","000001","000001","17/11/2023","60.00","285.00","17100.00"
"CS-PRI-04","GREEN PRINTED 270MM (H)","KWC000 KWC","000004","000004","28/02/2024","100.00","285.00","28500.00"
"CS-QQ-3R","RESIN GD HANDS ON CRYS BAS","KWC000 KWC","000001","000001","17/11/2023","48.00","210.00","10080.00"
"CS-RS-1","HAND W/MIC ON BASE 230*120","KWC000 KWC","000003","000003","21/11/2023","60.00","210.00","12600.00"
"GH-2396","COPPER FRAME TROPHY 240MM","KWC000 KWC","000006","000006","20/06/2024","20.00","676.00","13520.00"
"GH-3040","SLANTED BLOCK W/ MULTI-COL","KWC000 KWC","000006","000006","20/06/2024","50.00","398.00","19900.00"
"GH-3041","METAL WINGS 160MM","KWC000 KWC","000006","000006","20/06/2024","60.00","302.00","18120.00"
"GH-3043","SHIELD SHAPE W/ YELLOW SID","KWC000 KWC","000006","000006","20/06/2024","120.00","183.00","21960.00"
"GH-3044","KITE SHAPE W/ RED SIDES 21","KWC000 KWC","000006","000006","20/06/2024","120.00","183.00","21960.00"
"GH-3046","YELLOW FAN TROPHY 225MM","KWC000 KWC","000006","000006","20/06/2024","60.00","382.00","22920.00"
"GH-3047","TROPHY W/ MULTI-COLOUR WIN","KWC000 KWC","000006","000006","20/06/2024","60.00","477.00","28620.00"
"GH-3048","SLANTED TROPHY W/ BLUE SID","KWC000 KWC","000006","000006","20/06/2024","120.00","183.00","21960.00"
"GH-3068","PILLAR W/ GOLD EAGLE 280MM","KWC000 KWC","000006","000006","20/06/2024","20.00","517.00","10340.00"
"GH-3106","TROPHY W/ MULTI-COLOUR LEA","KWC000 KWC","000006","000006","20/06/2024","60.00","438.00","26280.00"
"HX-1261-B","GOLDEN TOKS (RUGBY/SOCCER)","KWC000 KWC","000007","000007","20/06/2024","144.00","165.00","23760.00"
"HX-1575","PROUD SV/GD GOLFER  220MM","KWC000 KWC","000007","000007","20/06/2024","96.00","187.00","17952.00"
"HX-1613B","SOCCER KICKER W/ROCKS  200","KWC000 KWC","000007","000007","20/06/2024","90.00","204.00","18360.00"
"HX-1695-A6","SOCCER SILVER PLAYER 190MM","KWC000 KWC","000007","000007","20/06/2024","144.00","195.00","28080.00"
"HX-1705","BRONZE SHOW JUMPING HORSE","KWC000 KWC","000007","000007","20/06/2024","48.00","475.00","22800.00"
"HX-1804B","RUGBY BALL & STAR 170MM(H)","KWC000 KWC","000007","000007","20/06/2024","120.00","153.00","18360.00"
"HX-1876-A","CRICKET FLASH BAT & BALL 1","KWC000 KWC","000007","000007","20/06/2024","120.00","144.00","17280.00"
"HX-1921A","GOLFER'S PLAY SET 190MM(H)","KWC000 KWC","000007","000007","20/06/2024","96.00","237.00","22752.00"
"HX-2001","BRONZE HORSE HEAD 185MM (H","KWC000 KWC","000007","000007","20/06/2024","48.00","187.00","8976.00"
"HX-2368","SLIDING SOCCER KICKER 185M","KWC000 KWC","000007","000007","20/06/2024","72.00","271.00","19512.00"
"HX-3207B","DIVING GOAL KEEPER 120MM (","KWC000 KWC","000007","000007","20/06/2024","96.00","204.00","19584.00"
"HX-3556-B10","SV/GD SOCCER KICKER 155MM(","KWC000 KWC","000007","000007","20/06/2024","120.00","204.00","24480.00"
"HX-3684-B11","SILVER GOLFER AIMING 195MM","KWC000 KWC","000007","000007","20/06/2024","96.00","199.00","19104.00"
"HX-4011C","LARGE GD LADY GOLFER 245MM","KWC000 KWC","000007","000007","20/06/2024","48.00","288.00","13824.00"
"HX-4279-A1","CRICKET VICTORY BATSMAN 22","KWC000 KWC","000007","000007","20/06/2024","96.00","267.00","25632.00"
"HX-4495-A","SWING GOLFER BIG BASE 285M","KWC000 KWC","000007","000007","20/06/2024","96.00","271.00","26016.00"
"HX-5539-C","RESIN CRICKET BALL; RED 12","KWC000 KWC","000007","000007","20/06/2024","120.00","131.00","15720.00"
"JL-137B-A","BLUE COLOUM MEDAL HLDR 320","KWC000 KWC","000001","000001","17/11/2023","120.00","96.00","11520.00"
"JL-137B-B","BLUE COLOUM MEDAL HLDR 310","KWC000 KWC","000001","000001","17/11/2023","120.00","92.00","11040.00"
"JL-137B-C","BLUE COLOUM MEDAL HLDR 290","KWC000 KWC","000001","000001","17/11/2023","144.00","80.00","11520.00"
"JL-137R-A","GOLD/RED TURNING MEDAL 285","KWC000 KWC","000005","000005","28/02/2024","72.00","96.00","6912.00"
"JL-137R-A","GOLD/RED TURNING MEDAL 285","KWC000 KWC","000007","000007","20/06/2024","48.00","102.00","4896.00"
"JL-137R-B","GOLD/RED TURNING MEDAL 275","KWC000 KWC","000005","000005","28/02/2024","96.00","92.00","8832.00"
"JL-137R-B","GOLD/RED TURNING MEDAL 275","KWC000 KWC","000007","000007","20/06/2024","48.00","98.00","4704.00"
"JL-137R-C","GOLD/RED TURNING MEDAL 255","KWC000 KWC","000005","000005","28/02/2024","48.00","80.00","3840.00"
"JL-137R-C","GOLD/RED TURNING MEDAL 255","KWC000 KWC","000007","000007","20/06/2024","96.00","85.00","8160.00"
"JL-1509B","GOLD FACETS CUP 475MM(H)","KWC000 KWC","000001","000001","17/11/2023","60.00","256.00","15360.00"
"JL-1509B","GOLD FACETS CUP 475MM(H)","KWC000 KWC","000007","000007","20/06/2024","80.00","271.00","21680.00"
"JL-1509C","GOLD FACETS CUP 420MM(H)","KWC000 KWC","000001","000001","17/11/2023","50.00","224.00","11200.00"
"JL-1509D","GOLD FACETS CUP 360MM(H)","KWC000 KWC","000001","000001","17/11/2023","60.00","200.00","12000.00"
"JL-1509D","GOLD FACETS CUP 360MM(H)","KWC000 KWC","000007","000007","20/06/2024","90.00","212.00","19080.00"
"JL-2068-A","SILVER CROWN 580MM (H)","KWC000 KWC","000001","000001","17/11/2023","72.00","352.00","25344.00"
"JL-2068-B","SILVER CROWN 510MM (H)","KWC000 KWC","000001","000001","17/11/2023","75.00","320.00","24000.00"
"JL-2068-B","SILVER CROWN 510MM (H)","KWC000 KWC","000010","000010","08/10/2024","75.00","320.00","24000.00"
"JL-2068-C","SILVER CROWN 445MM (H)","KWC000 KWC","000001","000001","17/11/2023","80.00","288.00","23040.00"
"JL-3064A","SILVER CUP 445MM (H)","KWC000 KWC","000007","000007","20/06/2024","96.00","280.00","26880.00"
"JL-3064B","SILVER CUP 400MM (H)","KWC000 KWC","000007","000007","20/06/2024","80.00","254.00","20320.00"
"JL-3064C","SILVER CUP 355MM (H)","KWC000 KWC","000007","000007","20/06/2024","100.00","229.00","22900.00"
"JL-3083A","SILVER CUP WITH LID  485MM","KWC000 KWC","000001","000001","17/11/2023","105.00","328.00","34440.00"
"JL-3083A","SILVER CUP WITH LID  485MM","KWC000 KWC","000010","000010","08/10/2024","120.00","328.00","39360.00"
"JL-3083B","SILVER CUP WITH LID  430MM","KWC000 KWC","000001","000001","17/11/2023","80.00","288.00","23040.00"
"JL-3083B","SILVER CUP WITH LID  430MM","KWC000 KWC","000010","000010","08/10/2024","100.00","288.00","28800.00"
"JL-3083C","SILVER CUP WITH LID  380MM","KWC000 KWC","000001","000001","17/11/2023","120.00","248.00","29760.00"
"JL-3083C","SILVER CUP WITH LID  380MM","KWC000 KWC","000010","000010","08/10/2024","120.00","248.00","29760.00"
"JL-4066B","PLAIN GOLD CUP 435MM(H)","KWC000 KWC","000001","000001","17/11/2023","60.00","256.00","15360.00"
"JL-4066B","PLAIN GOLD CUP 435MM(H)","KWC000 KWC","000007","000007","20/06/2024","80.00","271.00","21680.00"
"JL-4066B","PLAIN GOLD CUP 435MM(H)","KWC000 KWC","000010","000010","08/10/2024","80.00","271.00","21680.00"
"JL-4066C","PLAIN GOLD CUP 380MM(H)","KWC000 KWC","000001","000001","17/11/2023","50.00","224.00","11200.00"
"JL-4066C","PLAIN GOLD CUP 380MM(H)","KWC000 KWC","000007","000007","20/06/2024","75.00","237.00","17775.00"
"JL-4066C","PLAIN GOLD CUP 380MM(H)","KWC000 KWC","000010","000010","08/10/2024","60.00","237.00","14220.00"
"JL-4066D","PLAIN GOLD CUP 330MM(H)","KWC000 KWC","000001","000001","17/11/2023","30.00","200.00","6000.00"
"JL-4066D","PLAIN GOLD CUP 330MM(H)","KWC000 KWC","000007","000007","20/06/2024","90.00","212.00","19080.00"
"JL-4066D","PLAIN GOLD CUP 330MM(H)","KWC000 KWC","000010","000010","08/10/2024","60.00","212.00","12720.00"
"JL-677B-A","GD WITH BLUE FUNNEL 465MM(","KWC000 KWC","000001","000001","17/11/2023","72.00","144.00","10368.00"
"JL-677B-A","GD WITH BLUE FUNNEL 465MM(","KWC000 KWC","000010","000010","08/10/2024","72.00","144.00","10368.00"
"JL-677B-B","GD WITH BLUE FUNNEL 420MM(","KWC000 KWC","000001","000001","17/11/2023","72.00","128.00","9216.00"
"JL-677B-B","GD WITH BLUE FUNNEL 420MM(","KWC000 KWC","000010","000010","08/10/2024","72.00","128.00","9216.00"
"JL-677B-C","GD WITH BLUE FUNNEL 405MM(","KWC000 KWC","000001","000001","17/11/2023","72.00","117.00","8424.00"
"JL-677B-C","GD WITH BLUE FUNNEL 405MM(","KWC000 KWC","000010","000010","08/10/2024","57.00","117.00","6669.00"
"JL-781-3A","GD WINGED DECOR CUP 490MM(","KWC000 KWC","000003","000003","21/11/2023","48.00","184.00","8832.00"
"JL-781-3B","GD WINGED DECOR CUP 430MM(","KWC000 KWC","000003","000003","21/11/2023","48.00","160.00","7680.00"
"JL-781-3C","GD WINGED DECOR CUP 390MM(","KWC000 KWC","000003","000003","21/11/2023","48.00","136.00","6528.00"
"JL-7872G-A","GD STAR GREEN PIECE CUP 52","KWC000 KWC","000010","000010","08/10/2024","72.00","184.00","13248.00"
"JL-7872G-B","GD STAR GREEN PIECE CUP 47","KWC000 KWC","000010","000010","08/10/2024","48.00","152.00","7296.00"
"JL-7872G-C","GD STAR GREEN PIECE CUP 43","KWC000 KWC","000010","000010","08/10/2024","96.00","120.00","11520.00"
"JL-788D","GD FUNNEL DECOR HOLDER 410","KWC000 KWC","000001","000001","17/11/2023","120.00","168.00","20160.00"
"JL-788D","GD FUNNEL DECOR HOLDER 410","KWC000 KWC","000010","000010","08/10/2024","120.00","168.00","20160.00"
"JL-788E","GD FUNNEL DECOR HOLDER 370","KWC000 KWC","000003","000003","21/11/2023","144.00","136.00","19584.00"
"JL-788E","GD FUNNEL DECOR HOLDER 370","KWC000 KWC","000010","000010","08/10/2024","96.00","136.00","13056.00"
"JL-788F","GD FUNNEL DECOR HOLDER 340","KWC000 KWC","000003","000003","21/11/2023","144.00","120.00","17280.00"
"JL-788F","GD FUNNEL DECOR HOLDER 340","KWC000 KWC","000010","000010","08/10/2024","96.00","120.00","11520.00"
"JL-799-1A","GD TROPHY RED RIBBON 560MM","KWC000 KWC","000003","000003","21/11/2023","48.00","216.00","10368.00"
"JL-799-1A","GD TROPHY RED RIBBON 560MM","KWC000 KWC","000010","000010","08/10/2024","60.00","216.00","12960.00"
"JL-799-1B","GD TROPHY RED RIBBON 470MM","KWC000 KWC","000003","000003","21/11/2023","48.00","184.00","8832.00"
"JL-799-1B","GD TROPHY RED RIBBON 470MM","KWC000 KWC","000010","000010","08/10/2024","72.00","184.00","13248.00"
"JL-799-1C","GD TROPHY RED RIBBON 410MM","KWC000 KWC","000003","000003","21/11/2023","48.00","160.00","7680.00"
"JL-799-1C","GD TROPHY RED RIBBON 410MM","KWC000 KWC","000010","000010","08/10/2024","72.00","160.00","11520.00"
"JL-898C","GOLD CUP LEAFY BODY 305MM(","KWC000 KWC","000005","000005","28/02/2024","144.00","104.00","14976.00"
"JL-898C","GOLD CUP LEAFY BODY 305MM(","KWC000 KWC","000007","000007","20/06/2024","48.00","110.00","5280.00"
"JL-899A","GOLD CUP WEAT HANDLE 470MM","KWC000 KWC","000005","000005","28/02/2024","72.00","184.00","13248.00"
"JL-899A","GOLD CUP WEAT HANDLE 470MM","KWC000 KWC","000007","000007","20/06/2024","48.00","195.00","9360.00"
"JL-899A","GOLD CUP WEAT HANDLE 470MM","KWC000 KWC","000010","000010","08/10/2024","72.00","195.00","14040.00"
"JL-899B","GOLD CUP WEAT HANDLE 380MM","KWC000 KWC","000005","000005","28/02/2024","45.00","152.00","6840.00"
"JL-899B","GOLD CUP WEAT HANDLE 380MM","KWC000 KWC","000007","000007","20/06/2024","72.00","161.00","11592.00"
"JL-899B","GOLD CUP WEAT HANDLE 380MM","KWC000 KWC","000010","000010","08/10/2024","72.00","161.00","11592.00"
"JL-899C","GOLD CUP WEAT HANDLE 305MM","KWC000 KWC","000005","000005","28/02/2024","72.00","112.00","8064.00"
"JL-899C","GOLD CUP WEAT HANDLE 305MM","KWC000 KWC","000007","000007","20/06/2024","48.00","119.00","5712.00"
"JL-899C","GOLD CUP WEAT HANDLE 305MM","KWC000 KWC","000010","000010","08/10/2024","72.00","119.00","8568.00"
"JL-911A","GD CHALISE GLITTER BASE 39","KWC000 KWC","000010","000010","08/10/2024","96.00","136.00","13056.00"
"JL-911B","GD CHALISE GLITTER BASE 35","KWC000 KWC","000010","000010","08/10/2024","96.00","120.00","11520.00"
"JL-911C","GD CHALISE GLITTER BASE 30","KWC000 KWC","000010","000010","08/10/2024","96.00","104.00","9984.00"
"JL-D01-BZ","DIAMOND MEDAL BZ 70MM","KWC000 KWC","000007","000007","20/06/2024","600.00","16.00","9600.00"
"JL-D01-GD","DIAMOND MEDAL GD 70MM","KWC000 KWC","000007","000007","20/06/2024","600.00","16.00","9600.00"
"JL-D01-SV","DIAMOND MEDAL SV 70MM","KWC000 KWC","000007","000007","20/06/2024","600.00","16.00","9600.00"
"JL-DP22","SML BLUE CROWN HOLD W/BASE","KWC000 KWC","000001","000001","17/11/2023","216.00","46.00","9936.00"
"JL-DP23","SML RED CROWN WHEAT HOLD W","KWC000 KWC","000001","000001","17/11/2023","216.00","46.00","9936.00"
"JL-DS6750-A","GD/BLK SOCCER BALL CUP 400","KWC000 KWC","000001","000001","17/11/2023","72.00","200.00","14400.00"
"JL-DS6750-B","GD/BLK SOCCER BALL CUP 370","KWC000 KWC","000001","000001","17/11/2023","72.00","176.00","12672.00"
"JL-DS6750-C","GD/BLK SOCCER BALL CUP 335","KWC000 KWC","000001","000001","17/11/2023","72.00","152.00","10944.00"
"JL-GD015A","STARS RED CROWN 335MM (H)","KWC000 KWC","000010","000010","08/10/2024","96.00","100.00","9600.00"
"JL-GD015B","STARS RED CROWN 305MM (H)","KWC000 KWC","000010","000010","08/10/2024","96.00","92.00","8832.00"
"JL-GD015C","STARS NO RED CROWN 245MM (","KWC000 KWC","000010","000010","08/10/2024","96.00","68.00","6528.00"
"JL-L01-GD","GOLD LEAVE MEDAL 50MM (DIA","KWC000 KWC","000001","000001","17/11/2023","2000.00","10.50","21000.00"
"JL-L01-SV","SILVER LEAVE MEDAL  50MM(D","KWC000 KWC","000001","000001","17/11/2023","1000.00","10.50","10500.00"
"JL-QS061-BA","BLUE CROWN 3 STAR HOLDER 3","KWC000 KWC","000003","000003","21/11/2023","144.00","116.00","16704.00"
"JL-QS061-BB","BLUE CROWN 3 STAR HOLDER 3","KWC000 KWC","000001","000001","17/11/2023","144.00","100.00","14400.00"
"JL-QS061-BC","BLUE CROWN 3 STAR HOLDER 3","KWC000 KWC","000001","000001","17/11/2023","144.00","88.00","12672.00"
"JL-SF01-BZ","SUNFLOWER BRONZE  50MM","KWC000 KWC","000001","000001","17/11/2023","500.00","10.00","5000.00"
"JL-SF01-BZ","SUNFLOWER BRONZE  50MM","KWC000 KWC","000007","000007","20/06/2024","1000.00","11.00","11000.00"
"JL-SF01-GD","SUNFLOWER GOLD  50MM","KWC000 KWC","000001","000001","17/11/2023","2000.00","10.00","20000.00"
"JL-SF01-GD","SUNFLOWER GOLD  50MM","KWC000 KWC","000007","000007","20/06/2024","2250.00","11.00","24750.00"
"JL-SF01-SV","SUNFLOWER SILVER 50MM","KWC000 KWC","000001","000001","17/11/2023","500.00","10.00","5000.00"
"JL-SF01-SV","SUNFLOWER SILVER 50MM","KWC000 KWC","000007","000007","20/06/2024","1500.00","11.00","16500.00"
"JL-T163A","GD METAL CUP RD PIECE 370M","KWC000 KWC","000005","000005","28/02/2024","80.00","152.00","12160.00"
"JL-T163A","GD METAL CUP RD PIECE 370M","KWC000 KWC","000010","000010","08/10/2024","80.00","152.00","12160.00"
"JL-T163B","GD METAL CUP RD PIECE 340M","KWC000 KWC","000005","000005","28/02/2024","100.00","136.00","13600.00"
"JL-T163B","GD METAL CUP RD PIECE 340M","KWC000 KWC","000010","000010","08/10/2024","100.00","136.00","13600.00"
"JL-T163C","GD METAL CUP RD PIECE 325M","KWC000 KWC","000005","000005","28/02/2024","120.00","116.00","13920.00"
"JL-T163C","GD METAL CUP RD PIECE 325M","KWC000 KWC","000010","000010","08/10/2024","120.00","116.00","13920.00"
"JL-T164A","WAVEY GD METAL CUP 350MM (","KWC000 KWC","000007","000007","20/06/2024","120.00","161.00","19320.00"
"JL-T164B","WAVEY GD METAL CUP 315MM (","KWC000 KWC","000007","000007","20/06/2024","150.00","144.00","21600.00"
"JL-T164C","WAVEY GD METAL CUP 295MM (","KWC000 KWC","000007","000007","20/06/2024","120.00","123.00","14760.00"
"JL-T166A","SILVER CUP BLUE STEM 355MM","KWC000 KWC","000007","000007","20/06/2024","120.00","175.00","21000.00"
"JL-T166B","SILVER CUP BLUE STEM 325MM","KWC000 KWC","000007","000007","20/06/2024","150.00","153.00","22950.00"
"JL-T166C","SILVER CUP BLUE STEM 285MM","KWC000 KWC","000007","000007","20/06/2024","120.00","136.00","16320.00"
"JL-T168A","GD CUP SML RED DECOR 300MM","KWC000 KWC","000010","000010","08/10/2024","80.00","152.00","12160.00"
"JL-T168B","GD CUP SML RED DECOR 275MM","KWC000 KWC","000010","000010","08/10/2024","100.00","136.00","13600.00"
"JL-T168C","GD CUP SML RED DECOR 255MM","KWC000 KWC","000010","000010","08/10/2024","120.00","116.00","13920.00"
"JL-T169A","GD METAL CUP 360MM (H)","KWC000 KWC","000007","000007","20/06/2024","180.00","157.00","28260.00"
"JL-T169B","GD METAL CUP 325MM (H)","KWC000 KWC","000007","000007","20/06/2024","150.00","140.00","21000.00"
"JL-T169C","GD METAL CUP 300MM (H)","KWC000 KWC","000007","000007","20/06/2024","120.00","119.00","14280.00"
"JL-TF017-A","STAR HOLDER ON BASE 250MM","KWC000 KWC","000010","000010","08/10/2024","96.00","60.00","5760.00"
"JL-TF017-B","STAR HOLDER ON BASE 210MM","KWC000 KWC","000010","000010","08/10/2024","96.00","48.00","4608.00"
"JL-TF017-C","STAR HOLDER ON BASE 180MM","KWC000 KWC","000010","000010","08/10/2024","96.00","40.00","3840.00"
"JL-TF025A-HLR","GD HOLDER W/GD RIBBON 160M","KWC000 KWC","000003","000003","21/11/2023","300.00","18.00","5400.00"
"JL-TF025BA-HLR","GD HOLDER W/BL RIBBON 160M","KWC000 KWC","000003","000003","21/11/2023","300.00","22.00","6600.00"
"JL-TF025BA-HLR","GD HOLDER W/BL RIBBON 160M","KWC000 KWC","000010","000010","08/10/2024","300.00","22.00","6600.00"
"JL-TF025BB-HLR","GD HOLDER W/BL RIBBON 140M","KWC000 KWC","000003","000003","21/11/2023","400.00","18.00","7200.00"
"JL-TF025BB-HLR","GD HOLDER W/BL RIBBON 140M","KWC000 KWC","000010","000010","08/10/2024","400.00","18.00","7200.00"
"JL-TF025BC-HLR","GD HOLDER W/BL RIBBON 110M","KWC000 KWC","000003","000003","21/11/2023","500.00","14.00","7000.00"
"JL-TF025BC-HLR","GD HOLDER W/BL RIBBON 110M","KWC000 KWC","000010","000010","08/10/2024","500.00","14.00","7000.00"
"JL-TF025B-HLR","GD HOLDER W/GD RIBBON 140M","KWC000 KWC","000003","000003","21/11/2023","400.00","14.00","5600.00"
"JL-U-1","FLAG HOLDER 180MM (H)","KWC000 KWC","000001","000001","17/11/2023","900.00","17.00","15300.00"
"JL-U-2","FIREWORKS HOLDER 150MM (H)","KWC000 KWC","000001","000001","17/11/2023","1200.00","17.00","20400.00"
"JL-W02-BZ","BRONZE DOUBLE WHEAT  50MM(","KWC000 KWC","000010","000010","08/10/2024","2000.00","10.00","20000.00"
"JL-W02-GD","GOLD DOUBLE WHEAT  50MM(H)","KWC000 KWC","000005","000005","28/02/2024","2000.00","10.00","20000.00"
"JL-W02-GD","GOLD DOUBLE WHEAT  50MM(H)","KWC000 KWC","000010","000010","08/10/2024","3000.00","10.00","30000.00"
"JL-W02-SV","SILVER DOUBLE WHEAT 50MM","KWC000 KWC","000005","000005","28/02/2024","1000.00","10.00","10000.00"
"JL-W02-SV","SILVER DOUBLE WHEAT 50MM","KWC000 KWC","000010","000010","08/10/2024","2000.00","10.00","20000.00"
"JL-WF01-BZ","WREATH FLAME MEDAL BZ 65MM","KWC000 KWC","000007","000007","20/06/2024","600.00","16.00","9600.00"
"JL-WF01-GD","WREATH FLAME MEDAL GD 65MM","KWC000 KWC","000007","000007","20/06/2024","600.00","16.00","9600.00"
"JL-WF01-SV","WREATH FLAME MEDAL SV 65MM","KWC000 KWC","000007","000007","20/06/2024","600.00","16.00","9600.00"
"JL-XD005-GD","GD OPEN CUP 205MM (H)","KWC000 KWC","000010","000010","08/10/2024","120.00","80.00","9600.00"
"JL-YK605A","SPIRAL METAL CHALISE 410MM","KWC000 KWC","000001","000001","17/11/2023","60.00","312.00","18720.00"
"JL-YK605B","SPIRAL METAL CHALISE 360MM","KWC000 KWC","000001","000001","17/11/2023","72.00","256.00","18432.00"
"JL-YK605C","SPIRAL METAL CHALISE 315MM","KWC000 KWC","000001","000001","17/11/2023","72.00","216.00","15552.00"
"JL-YK611","STAR HOLDER ON BASE 245MM(","KWC000 KWC","000010","000010","08/10/2024","80.00","54.00","4320.00"
"JL-YK612A","HOLDER/STARS GD 285MM(H)","KWC000 KWC","000010","000010","08/10/2024","48.00","80.00","3840.00"
"JL-YK612B","HOLDER/STARS GD 255MM(H)","KWC000 KWC","000010","000010","08/10/2024","48.00","68.00","3264.00"
"JL-YK612C","HOLDER/STARS GD 225MM(H)","KWC000 KWC","000010","000010","08/10/2024","48.00","56.00","2688.00"
"JL-YK624A","SOCCER GD TROPHY 235MM(H)","KWC000 KWC","000010","000010","08/10/2024","48.00","120.00","5760.00"
"JL-YK624B","SOCCER SV TROPHY 220MM(H)","KWC000 KWC","000010","000010","08/10/2024","48.00","104.00","4992.00"
"JL-YK624C","SOCCER GD TROPHY 210MM(H)","KWC000 KWC","000010","000010","08/10/2024","48.00","96.00","4608.00"
"KK-558CL-A",""A-GRADE" LASER CUBE 50*50","KWC000 KWC","000004","000004","28/02/2024","240.00","78.00","18720.00"
"KK-GF01-25","PRESTIGES GOLFER TR 245MM","KWC000 KWC","000004","000004","28/02/2024","84.00","324.00","27216.00"
"KK-GF01-27","PRESTIGES GOLFER TR 270MM","KWC000 KWC","000004","000004","28/02/2024","84.00","346.00","29064.00"
"KK-GF01-30","PRESTIGES GOLFER TR 300MM","KWC000 KWC","000004","000004","28/02/2024","84.00","396.00","33264.00"
"LD-014","FLAME ON BLACK BASE 180MM(","KWC000 KWC","000004","000004","28/02/2024","100.00","300.00","30000.00"
"LD-067-L","SQUARE W/BLUE SIDES 255MM(","KWC000 KWC","000001","000001","17/11/2023","100.00","450.00","45000.00"
"LD-067-L","SQUARE W/BLUE SIDES 255MM(","KWC000 KWC","000008","000008","26/07/2024","120.00","477.00","57240.00"
"LD-067-M","SQUARE W/BLUE SIDES 230MM(","KWC000 KWC","000001","000001","17/11/2023","100.00","412.00","41200.00"
"LD-067-M","SQUARE W/BLUE SIDES 230MM(","KWC000 KWC","000008","000008","26/07/2024","120.00","437.00","52440.00"
"LD-067-S","SQUARE W/BLUE SIDES 215MM(","KWC000 KWC","000008","000008","26/07/2024","120.00","398.00","47760.00"
"LD-07","BASE 60*80*50MM","KWC000 KWC","000006","000006","20/06/2024","250.00","127.00","31750.00"
"LD-07B","BASE BLACK 60*80*50MM","KWC000 KWC","000006","000006","20/06/2024","220.00","143.00","31460.00"
"LD-110S","SHINY ROUND BASE 110MM(BAS","KWC000 KWC","000004","000004","28/02/2024","180.00","184.00","33120.00"
"LD-54-120","TROPHY 120MM(D) 140MM(H) *","KWC000 KWC","000001","000001","17/11/2023","120.00","230.00","27600.00"
"LD-54-140","TROPHY 140MM(D) 160MM(H) *","KWC000 KWC","000001","000001","17/11/2023","72.00","255.00","18360.00"
"LD-54-140","TROPHY 140MM(D) 160MM(H) *","KWC000 KWC","000006","000006","20/06/2024","250.00","263.00","65750.00"
"LD-54-160","TROPHY 160MM(D) 185MM(H) *","KWC000 KWC","000001","000001","17/11/2023","60.00","292.00","17520.00"
"LD-54-160","TROPHY 160MM(D) 185MM(H) *","KWC000 KWC","000008","000008","26/07/2024","250.00","310.00","77500.00"
"LD-54-160","TROPHY 160MM(D) 185MM(H) *","KWC000 KWC","000009","000009","08/10/2024","100.00","273.00","27300.00"
"LD-54-180","TROPHY 180MM(D) 205MM(H) (","KWC000 KWC","000009","000009","08/10/2024","100.00","385.00","38500.00"
"LD-611-140","**ROUND B/BASE BLUE MOON 1","KWC000 KWC","000009","000009","08/10/2024","120.00","385.00","46200.00"
"LD-611-150","**ROUND B/BASE BLUE MOON 1","KWC000 KWC","000009","000009","08/10/2024","120.00","420.00","50400.00"
"LD-611-170","**ROUND B/BASE BLUE MOON 2","KWC000 KWC","000009","000009","08/10/2024","120.00","476.00","57120.00"
"LD-90-L","SQUARE TR 230MM(H)","KWC000 KWC","000004","000004","28/02/2024","100.00","511.00","51100.00"
"LD-90-M","SQUARE TR 210MM(H)","KWC000 KWC","000001","000001","17/11/2023","120.00","435.00","52200.00"
"LD-90-S","SQUARE TR 190MM(H)","KWC000 KWC","000004","000004","28/02/2024","100.00","360.00","36000.00"
"LD-GT00-L","PLAIN ROUND ON BASE 220(H)","KWC000 KWC","000004","000004","28/02/2024","200.00","202.00","40400.00"
"LD-GT00-L","PLAIN ROUND ON BASE 220(H)","KWC000 KWC","000009","000009","08/10/2024","200.00","202.00","40400.00"
"LD-GT00-M","PLAIN ROUND ON BASE 190(H)","KWC000 KWC","000001","000001","17/11/2023","100.00","173.00","17300.00"
"LD-GT00-M","PLAIN ROUND ON BASE 190(H)","KWC000 KWC","000009","000009","08/10/2024","200.00","173.00","34600.00"
"LD-GT00-S","PLAIN ROUND ON BASE 160(H)","KWC000 KWC","000001","000001","17/11/2023","100.00","144.00","14400.00"
"LD-GT00-S","PLAIN ROUND ON BASE 160(H)","KWC000 KWC","000009","000009","08/10/2024","200.00","144.00","28800.00"
"LD-GT01-L","SQUARE GLASS 220MM (H)","KWC000 KWC","000004","000004","28/02/2024","200.00","158.00","31600.00"
"LD-GT01-L","SQUARE GLASS 220MM (H)","KWC000 KWC","000009","000009","08/10/2024","100.00","158.00","15800.00"
